place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Rimini	Rimini	Q13369	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/9/9a/Rimini_Montage.jpg	44.0595,12.5685	POINT(12.5685 44.0595)	4050057-3	/m/0kt0w	6541863		http://purl.org/net7/korbo2/item/382
Roggwil (Thurgau)	Roggwil	Q65577	Gemeinde im Kanton Thurgau, Schweiz	municipality of Switzerland	https://upload.wikimedia.org/wikipedia/commons/0/01/Kybun-tower-roggwil.jpg	47.499444444444,9.395	POINT(9.395 47.499444444444)	4529865-8	/m/0g35yv	7286930		http://korbo2.org/v1/items/104930
Röhrsdorf	Klipphausen	Q8726	Gemeinde im Landkreis Meißen, Sachsen, Deutschland	municipality in the district of Meißen, in Saxony, Germany	https://upload.wikimedia.org/wikipedia/commons/b/bd/Gauernitz-Schloss.jpg	51.083333333333,13.533333333333	POINT(13.533333333333 51.083333333333)	4580415-1	/m/02vw_tz	2887645		http://purl.org/net7/korbo2/item/427
Rom	Rome	Q220	Hauptstadt von Italien	capital and largest city of Italy	https://upload.wikimedia.org/wikipedia/commons/c/c0/Rome_Montage_2017.png	41.893055555556,12.482777777778	POINT(12.482777777778 41.893055555556)	4050471-2	/m/06c62	3169071	7000874	http://purl.org/net7/korbo2/item/131
Rome	Rome	Q220	Hauptstadt von Italien	capital and largest city of Italy	https://upload.wikimedia.org/wikipedia/commons/c/c0/Rome_Montage_2017.png	41.893055555556,12.482777777778	POINT(12.482777777778 41.893055555556)	4050471-2	/m/06c62	3169071	7000874	http://korbo2.org/v1/items/2517
Rotterdam	Rotterdam	Q34370	zweitgrößte Stadt der Niederlande	city in the Netherlands	https://upload.wikimedia.org/wikipedia/commons/f/f8/Erasmusbrug_seen_from_Euromast.jpg	51.9225,4.47917	POINT(4.47917 51.9225)	4050739-7	/m/06hdk	2747890	7006792	http://purl.org/net7/korbo2/item/801
Rüdlingen	Rüdlingen	Q66796	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/e/ec/R%C3%BCdlingen.jpg	47.566666666667,8.5663888888889	POINT(8.5663888888889 47.566666666667)	4134083-8	/m/0fvtwq	2658938		http://purl.org/net7/korbo2/item/355
Rudolstadt	Rudolstadt	Q517107	Gemeinde im Landkreis Saalfeld-Rudolstadt, Thüringen, Deutschland	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/b/b0/RudolstadtBlickVonDerHeidecksburg.jpg	50.716944444444,11.3275	POINT(11.3275 50.716944444444)	4105066-6	/m/09rc1n	2843355		http://purl.org/net7/korbo2/item/823
Saalfeld/Saale	Saalfeld	Q155984	Gemeinde im Landkreis Saalfeld-Rudolstadt, Thüringen, Deutschland	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/0/09/Stadtkirche_Saalfeld.JPG	50.650555555556,11.354166666667	POINT(11.354166666667 50.650555555556)	4051087-6	/m/03l7sz	2842688		http://purl.org/net7/korbo2/item/825
Sankt Gallen	St. Gallen	Q25607	Schweizer Stadt, Hauptort des Kantons St. Gallen	capital of St. Gallen canton in Switzerland	https://upload.wikimedia.org/wikipedia/commons/a/ab/Sankt_Gallen.jpg	47.423333333333,9.3772222222222	POINT(9.3772222222222 47.423333333333)	4051594-1	/m/0245n9	7287240		http://purl.org/net7/korbo2/item/1696
